,description,link,location,phone,service_name,va_facility
2092,Captain James A. Lovell Federal Health Care Center Nutrition and Food Services,/services/NutritionandFood.asp,"Primary Care, outpatient area, Building 133CA, Hallway B, Room 1D136Internal Medicine, Building 133EF, 1st floor, Room 1F-221Mental Health Clinic, Building 133EF, 3rd floor",224-610-4861  224-610-7718,Nutrition and Food Services,www.lovell.fhcc
2093,"The Optometry Clinic provides primary eye care services to active duty service members, Navy recruits, VA beneficiaries, active duty family members and DoD retirees.",/services/Optometry.asp,Bldg. 133-EF,224-610-7155,Optometry,www.lovell.fhcc
2094,Orthopedics,/services/Orthopedics.asp,"Bldg 133 EF, Basement",224-610-7069  224-610-7035,Orthopedics,www.lovell.fhcc
2095,Palliative and Hospice Care Services,/services/Palliative_Care_Services.asp,Building 134,224-226-6369,Palliative and Hospice Care,www.lovell.fhcc
2096,Palliative and Hospice Care Services,/services/Palliative_Care_Services.asp,Building 134,224-226-6369,Palliative and Hospice Care Services,www.lovell.fhcc
2097,"Lovell FHCC has a Pastoral Care Department, where military and civilian chaplains provide religious services.",/services/Chaplain_Services.asp,"Bldg. 134, Room C108, Community Living Center3001 Green Bay RoadNorth Chicago, IL 60064",224-610-3715,Pastoral Care,www.lovell.fhcc
2098,"Please contact our Patient Advocates if you have any compliments, complaints, or concerns.",/services/Patient_Advocates.asp,Captain James A. Lovell Federal Health Care Center,224-610-7505,Patient Advocates,www.lovell.fhcc
2099,"Quality, comprehensive, and family-centered healthcare to military-dependent children from infancy to 18 years of age in an empathetic, efficient and professional manner.",/services/Pediatrics.asp,"Bldg. 133-EF, 1st Floor Pediatric Clinic",224-610-7776  847-688-1900,Pediatrics,www.lovell.fhcc
2100,"Depending upon the situation and immediacy, there are several methods to best meet our patients pharmaceutical needs.",/services/pharmacy.asp,Bldg. 133EF 1st floorNaval Exchange at Burkey Mall Bldg. 3452 Corner of Green Bay Rd. and Buckley Rd.,224-610-7600,Pharmacy,www.lovell.fhcc
2101,Podiatry,/services/Podiatry.asp,"Bldg 133 EF, Basement",224-610-7036  224-610-7098,Podiatry,www.lovell.fhcc
2102,Police and Security,/services/Police_and_Security.asp,Bldg 133,224-610-3703,Police and Security,www.lovell.fhcc
2103,Pulmonology,/services/Pulmonology.asp,"Bldg. 133 EF, Second Level",224-610-8277  224-610-8275,Pulmonology,www.lovell.fhcc
2104,Research at the Lovell FHCC is conducted by FHCC investigators and helps ensure Veterans access to cutting-edge medical and health care information and technology.,/services/Research_and_Development.asp,Captain James A. Lovell FHCC,224-610-2924,Research and Development,www.lovell.fhcc
2105,Rheumatology,/services/Rheumatology.asp,"Bldg 133EF, Basement",224-610-7002  224-610-7003,Rheumatology,www.lovell.fhcc
2106,Recovery enables a person to participate fully in the experiences life has to offer.,/services/sdtu.asp,Captain James A. Lovell FHCC,224-610-3312,Stress Disorder Treatment Unit,www.lovell.fhcc
2107,"Provides three levels of addiction treatment, residential, outpatient and aftercare",/services/Substance_Abuse_Treatment.asp,Building 131,224-610-5790  224-610-5753,Substance Abuse Treatment,www.lovell.fhcc
2108,TRICARE,/services/TRICARE.asp,"Bldg 133 EF, Ground Level",877-874-2273,TRICARE,www.lovell.fhcc
2109,Telehealth uses electronic information and communication technology to provide clinical care and patient education where distance separates patients from the provider.,/services/Telehealth.asp,,224-610-4508,Telehealth Services,www.lovell.fhcc
2110,Transplant Patient Care,/services/Transplant_Patient_Care.asp,"Building 133, First Floor",224-610-3871,Transplant Patient Care,www.lovell.fhcc
2111,Urology,/services/Urology.asp,"Bldg. 133 EF, Second Level",224-610-8102  224-610-8103,Urology,www.lovell.fhcc
2112,The Visual Impairment Services Program provides services to Veterans and Active Duty Service Members experiencing significant vision loss.,/services/Visual_Impairment_Services.asp,"Building 133EF, Room BF344",224-610-7168,Visual Impairment Services,www.lovell.fhcc
2113,Lovell offers comprehensive primary health care to women Veterans at the main facility in both the Womens Health Clinic as well as the Primary Care Clinic.,/services/Women_Veteran_Program.asp,"Bldg. 133EF, Rm. 1E313",224-610-1123,Women Veterans Program,www.lovell.fhcc
2114,"Womens Health Clinic provides  Primary Care for female veterans and gynecology for active duty, veterans, retirees, and dependents.",/services/WomenHealthClinic.asp,"Bldg. 133EF, First Floor, Womens Health Clinic",224-610-7615  224-610-7614,Womens Health Clinic,www.lovell.fhcc
2115,Offers care and treatment of alcohol and drug-dependent Veterans,/services/ADTP.asp,"Building 72500 Overlook TerraceMadison, WI 53705",608-280-7073  888-478-8321 Ext. 17073,Addictive Disorders Treatment Program (ADTP),www.madison
2116,Provides care for patients with amputation.,/services/Amputee_Care.asp,"Physical Medicine and Rehabilitation ServiceSecond Floor B2, 2500 Overlook TerraceMadison, WI 53705",608-280-7036  888-478-8321 Ext. 17036,Amputee Care,www.madison
2117,Schedules appointments at the VA Hospital or Clinics,/services/Appointments.asp,"2500 Overlook TerraceMadison, WI 53705",608-280-7011  888-478-8321,Appointment Scheduling,www.madison
2118,"Provides care for persons who have  difficulties in communicating, swallowing, hearing and balance.",/services/Audiology_and_Speech_Pathology.asp,"3rd Floor, D Wing, Rm D32112500 Overlook TerraceMadison, WI 53705",608-280-7175  888-478-8321,"Audiology, Speech Pathology and Ears, Nose and Throat - ENT",www.madison
2119,Offers a program to  manage or decrease chronic back pain.,/services/Back_Maintenance.asp,"Second Floor B2Physical Medicine and Rehabilitation Service2500 Overlook Terrace Madison, WI 53705",608-280-7036  888-478-8321 Ext. 17036,Back Maintenance School,www.madison
2120,Gives patients access to a Patient Services Advisor who can assist patients with their concerns or questions.,/services/Telephone_Care.asp,"3rd Floor Room D32122500 Overlook TerraceMadison,Wisconsin 53705",888-598-7793,Call Center/Customer  Service,www.madison
2121,Provides a rehabilitation program when a referral is made from a  VA Primary Care doctor or Cardiologist.,/services/Cardiac_Pulmonary_Rehab.asp,"Second Floor B2Physical Medicine and Rehabilitation Service2500 Overlook Terrace, Madison, WI 53705",608-280-7036  888-478-8321 Ext. 17036,Cardiac and Pulmonary Rehabilitation,www.madison
2122,Treats those with cardiac/heart disease.,/services/Cardiology.asp,"Room B40512500 Overlook TerraceMadison, WI 53705",608-280-7003  888-478-8321,Cardiology,www.madison
2123,Helps Veterans and their families with problems associated with the stress of an illness.  Assists with finding community resources.,/services/socialwork.asp,"Ground Floor Room  A452500 Overlook TerraceMadison, Wisconsin 53705",608-280-7085  888-478-8321 Ext. 17085,Chaplain Services,www.madison
2124,"Offers opportunities for transitional and permanent supportive housing, case management and referral for homeless prevention.",/services/csp.asp,"Suite 501345 West Washington AveMadison, WI 53705",608-280-7195  888-478-8321,Community Support Program and Homeless Program,www.madison
2125,Assists homeless Veterans in returning to competitive employment.,/services/Compensated_Work_Therapy.asp,"Suite 501345 West Washington Ave.Madison, WI 53705",888-478-8321 Ext. 17082  608-280-7082,Compensated Work Therapy,www.madison
2126,Administers compensation and pension exams for Veterans who have claims with the Veterans Benefits Administration - VBA.,/services/Compensation_and_Pension.asp,"Room A10512500 Overlook TerraceMadison, WI 53705",608-280-7004  888-478-8321,Compensation and Pension,www.madison
2127,Provides high quality dental care to a diverse population of dental eligible Veterans.,/services/Dental_Services.asp,"Room 52622500 Overlook TerraceMadison, Wisconsin  53705",888-478-8321 Ext. 17035  608-280-7035,Dental Services,www.madison
2128,Guides Veteran patients in understanding how to manage diet and weight  to help prevent foot problems.,/services/Foot_Care.asp,"Second Floor B2Physical Medicine and Rehabilitation Service2500 Overlook Terrace, Madison,WI 53705",608-280-7036  888-478-8321 Ext. 17036,Diabetic Foot Care and Management,www.madison
2129,Explains and provides information on enrolling in the VA health care system.,/services/Eligibility.asp,"First Floor Near ER2500 Overlook TerraceMadison, WI 53705",608-280-7038  888-478-8321,Eligibility,www.madison
2130,Serves Veterans with quality emergency care.,/services/Emergency_Department.asp,"First Floor D Wing2500 Overlook TerraceMadison, WI 53705",608-280-7012  888-478-8321,Emergency Department,www.madison
2131,Provides evaluations of patients with poorly controlled seizures or who may be eligible for surgical therapies.,/services/epilepsy.asp,"Room B60542500 Overlook TerraceMadison, WI 53705",608-256-1901 Ext. 17728  888-478-8321 Ext. 17728,Epilepsy Service  - ECoE,www.madison
2132,Offers rehabilitation services to help individuals maximize their independence and quality of life after injury or illness.,/services/ecrc.asp,"2500 Overlook TerraceMadison, WI 53705",888-478-8321  608-256-1901,Extended Care and Rehabilitation,www.madison
2133,Provides medical and surgical eye care services including glasses and contact lenses.,/services/Eye_Care.asp,"Room B52022500 Overlook TerraceMadison, Wisconsin  53705",888-478-8321 Ext. 17034  608-280-7034,Eye Care,www.madison
2134,Evaluates and provides treatment  to prevent and treat falls.,/services/Falls_Prevention.asp,"Second Floor B2Physical Medicine and Rehabilitation Service2500 Overlook Terrace, Madison, WI 53705",608-280-7036  888-478-8321 Ext. 17036,Falls Prevention and Balance Retraining,www.madison
2135,Provides health care for over 35 years to older Veterans.,/services/Geriatric_Care.asp,"Geriatrics Primary Care Clinic, D Wing 4th and 5th floors2500 Overlook TerraceMadison, WI 53705",608-280-7000  888-478-8321,Geriatric Care - Geriatrics Primary Care Clinic,www.madison
2136,"Improves the quality of care delivered to older Veterans,  increases knowledge of aging, and  transmits this knowledge to healthcare providers.",/services/GRECC.asp,"D Wing, 4th and 5th Floors2500 Overlook TerraceMadison, WI 53705",608-280-7000  888-478-8321,Geriatrics Research Education and Clinical Center - GRECC,www.madison
2137,"Coordinates VA home and community care programs and benefits including nursing homes, adult day care, respite, hospice or home health aide programs.",/services/Home_and_Community_Care.asp,"2500 Overlook TerraceMadison, WI 53705",888-478-8321 Ext. 17085  608-256-1901 Ext. 17085,Home and Community Care,www.madison
2138,"Provides chemotherapy, intraveneious medications, Hydration Therapy, blood transfusions for Oncology, Hematology, and other medical disorders.",/services/Infusion_Clinic.asp,"Room D12842500 Overlook TerraceMadison, WI 53705",608-280-7017 Ext. 2 - Scheduling   608-280-7017 Ext. 3 - Nurse,Infusion Clinic,www.madison
2139,Provides services for visually impaired Veterans to increase their independence and quality of life.,/services/Low_Vision.asp,"Room B50992500 Overlook TerraceMadison, WI 53705",888-478-8321 Ext. 17886  888-478-8321 Ext. 11889,Low Vision Clinic,www.madison
2140,"Helps Veterans lose weight, keep it off and improve their health.",/services/Move_Program.asp,"Patient Education Resource Center - Room A10052500 Overlook TerraceMadison, WI 53705",608-256-1901 Ext. 11420  888-478-8321 Ext. 11420,MOVE Program - Weight Management Program,www.madison
2141,"Offers X-rays, Ultrasound, MRI -Magnetic Reasonance Imaging, CT - Computed Tomography, Interventional Radiology, DEXA -  Bone Densitometry",/services/Radiology.asp,"Room DG2752500 Overlook TerraceMadison,,Wisconsin 53705",608-280-7070,Medical Imaging,www.madison
2142,"Provides individual/group/couples  therapy, assessment, and medical management.",/services/mentalhealth.asp,"2nd Floor Mental Health Clinic2500 Overlook TerraceMadison, WI 53705.",608-280-7084  888-598-7793,Mental Health - Outpatient,www.madison
2143,Provides therapy with clinicians with expertise in MST treatment.,/services/Military_Sexual_Trauma.asp,"Building 222500 Overlook TerraceMadison, Wisconsin 53705",608-256-1901 Ext. 11364  888-598-7793,Military Sexual Trauma - MST,www.madison
2144,"Offers consultation, evaluation, long-term montioring and treatment related to  neurology and epilepsy.",/services/Neurology.asp,"Room B60542500 Overlook TerraceMadison, WI 53705",608-256-1901 Ext. 17728  888-478-8321,Neurology,www.madison
2145,"Provides nursing care to eligible patients, educates health care professionals, and conducts and appies research.",/services/Nursing.asp,"Room B60742500 Overlook TerraceMadison, WI 53705",608-256-1901 Ext. 17080  888-478-8321,Nursing Service,www.madison
2146,"Offers medical nutrition therapy to inpatients, outpatients, and volunteers.",/services/Nutrition.asp,"Room C2115 Nutrition Clinic2500 Overlook TerraceMadison, Wisconsin 53705",608-280-2039  888-478-8321,Nutrition Department,www.madison
2147,"Provides evaluation and treatment including rehabilitation following injury, chronic disease and modification of life activities.",/services/Occupational-Therapy.asp,"4B22500 Overlook TerraceMadison, Wisconsin 53705",608-280-7036  888-478-8321 Ext. 17036,Occupational Therapy,www.madison
